,Title,Author,Published,Link
0,Deep learning identification of coronary artery disease from bilateral finger photoplethysmography sensing: A proof-of-concept study,"Allen, J.",1 Sept 2023,"<h3 class=""title""><a class=""link"" href=""https://pureportal.coventry.ac.uk/en/publications/deep-learning-identification-of-coronary-artery-disease-from-bila"" rel=""ContributionToJournal""><span>Deep learning identification of coronary artery disease from bilateral finger photoplethysmography sensing: A proof-of-concept study</span></a></h3>"
1,Usability and preliminary efficacy of an AI-driven platform supporting dietary management in diabetes: A mixed-method study,"Bul, K.",16 Apr 2023,"<h3 class=""title""><a class=""link"" href=""https://pureportal.coventry.ac.uk/en/publications/usability-and-preliminary-efficacy-of-an-ai-driven-platform-suppo-2"" rel=""ContributionToJournal""><span>Usability and preliminary efficacy of an AI-driven platform supporting dietary management in diabetes: A mixed-method study</span></a></h3>"
2,Assessing hemodynamics from the photoplethysmogram to gain insights into vascular age: a review from VascAgeNet,"Allen, J.",1 Apr 2022,"<h3 class=""title""><a class=""link"" href=""https://pureportal.coventry.ac.uk/en/publications/assessing-hemodynamics-from-the-photoplethysmogram-to-gain-insigh"" rel=""ContributionToJournal""><span>Assessing hemodynamics from the photoplethysmogram to gain insights into vascular age: a review from VascAgeNet</span></a></h3>"
3,"Book Pitch article on Photoplethysmography: technology, signal analysis and applications","Allen, J.",25 May 2022,"<h3 class=""title""><a class=""link"" href=""https://pureportal.coventry.ac.uk/en/publications/book-pitch-article-on-photoplethysmography-technology-signal-anal"" rel=""ContributionToPeriodical""><span>Book Pitch article on Photoplethysmography: technology, signal analysis and applications</span></a></h3>"
4,Ethnic Disparities in Publicly-available Pulse Oximetry Databases,"Allen, J.",27 May 2022,"<h3 class=""title""><a class=""link"" href=""https://pureportal.coventry.ac.uk/en/publications/ethnic-disparities-in-publicly-available-pulse-oximetry-databases"" rel=""ContributionToJournal""><span>Ethnic Disparities in Publicly-available Pulse Oximetry Databases</span></a></h3>"
5,Novel pulse device for diagnosis of peripheral arterial disease (NOTEPAD): ISRCTN13301188,"Allen, J.",24 Oct 2022,"<h3 class=""title""><a class=""link"" href=""https://pureportal.coventry.ac.uk/en/publications/novel-pulse-device-for-diagnosis-of-peripheral-arterial-disease-n"" rel=""OtherContribution""><span>Novel pulse device for diagnosis of peripheral arterial disease (NOTEPAD): ISRCTN13301188</span></a></h3>"
6,Prospective assessment of the diagnostic accuracy of multi-site photoplethysmography pulse measurements for diagnosis of peripheral artery disease in primary care,"Allen, J.",18 Aug 2022,"<h3 class=""title""><a class=""link"" href=""https://pureportal.coventry.ac.uk/en/publications/prospective-assessment-of-the-diagnostic-accuracy-of-multi-site-p"" rel=""ContributionToJournal""><span>Prospective assessment of the diagnostic accuracy of multi-site photoplethysmography pulse measurements for diagnosis of peripheral artery disease in primary care</span></a></h3>"
7,Usability and preliminary efficacy of an AI-driven platform supporting dietary management in diabetes: A mixed-method study,"Bul, K.",21 Nov 2022,"<h3 class=""title""><a class=""link"" href=""https://pureportal.coventry.ac.uk/en/publications/usability-and-preliminary-efficacy-of-an-ai-driven-platform-suppo"" rel=""WorkingPaper""><span>Usability and preliminary efficacy of an AI-driven platform supporting dietary management in diabetes: A mixed-method study</span></a></h3>"
8,Validation of a Standardised Duplex Ultrasound Classification System for the Reporting and Grading of Peripheral Arterial Disease,"Allen, J.",1 Aug 2022,"<h3 class=""title""><a class=""link"" href=""https://pureportal.coventry.ac.uk/en/publications/validation-of-a-standardised-duplex-ultrasound-classification-sys"" rel=""ContributionToJournal""><span>Validation of a Standardised Duplex Ultrasound Classification System for the Reporting and Grading of Peripheral Arterial Disease</span></a></h3>"
9,Deep learning based photoplethysmography classification for peripheral arterial disease detection: a proof-of-concept study,"Allen, J.",17 Jun 2021,"<h3 class=""title""><a class=""link"" href=""https://pureportal.coventry.ac.uk/en/publications/deep-learning-based-photoplethysmography-classification-for-perip"" rel=""ContributionToJournal""><span>Deep learning based photoplethysmography classification for peripheral arterial disease detection: a proof-of-concept study</span></a></h3>"
